,date,volumeUSD,totalValueLockedUSD,priceUSD,feesUSD,open,high,low,close,token_id
0,2023-10-08,178791529.39849347,0,1.0,93818.57254784177,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
1,2023-10-07,77731931.38320719,0,1.0,43173.11126171585,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
2,2023-10-06,255011785.7576235,0,1.0,148339.72120140112,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
3,2023-10-05,209149823.08401528,0,1.0,114272.18295754946,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
4,2023-10-04,235882913.29529756,0,1.0,128665.70512392872,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
5,2023-10-03,182082706.41482872,0,1.0,97320.9920972265,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
6,2023-10-02,458545138.9135448,0,1.0,264125.06330338545,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
7,2023-10-01,207214628.470999,0,1.0,115705.8470458548,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
8,2023-09-30,138656496.78125316,0,1.0,59459.48751514544,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
9,2023-09-29,248529164.66058755,0,1.0,136839.90107128455,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
10,2023-09-28,341417064.9779642,0,1.0,188194.25128617111,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
11,2023-09-27,240415737.54954213,0,1.0,134350.052924164,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
12,2023-09-26,162819186.09712288,0,1.0,80727.82902929037,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
13,2023-09-25,288133018.3512313,0,1.0,132681.2214993807,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
14,2023-09-24,106121958.68986233,0,1.0,61179.31559437111,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
15,2023-09-23,155262691.85541365,0,1.0,43508.76627081364,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
16,2023-09-22,146164772.562248,0,1.0,78389.60312217097,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
17,2023-09-21,229813200.6825896,0,1.0,125858.94047691725,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
18,2023-09-20,227261860.00024632,0,1.0,135181.37443922,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
19,2023-09-19,282870346.7370668,0,1.0,158499.96206766344,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
20,2023-09-18,367704938.0895201,0,1.0,190441.5948084159,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
21,2023-09-17,93960267.26501805,0,1.0,60858.635600731206,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
22,2023-09-16,93536579.17906867,0,1.0,68523.52634611778,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
23,2023-09-15,219967747.62501648,0,1.0,122268.48380272176,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
24,2023-09-14,256617529.5538901,0,1.0,143664.5991112706,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
25,2023-09-13,315779044.79406285,0,1.0,173243.58806745056,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
26,2023-09-12,408655413.3948161,0,1.0,230068.35686760704,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
27,2023-09-11,439646426.8668167,0,1.0,251333.3526640696,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
28,2023-09-10,238025945.5039428,0,1.0,128546.49182613209,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
29,2023-09-09,58218187.04439721,0,1.0,22356.216604688132,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
30,2023-09-08,188797872.590395,0,1.0,101403.11328228124,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
31,2023-09-07,207130427.24399227,0,1.0,112670.34972518154,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
32,2023-09-06,256608992.2246714,0,1.0,135858.37580193928,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
33,2023-09-05,212964100.0013856,0,1.0,113257.56053080344,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
34,2023-09-04,191509272.8657222,0,1.0,103273.98804793466,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
35,2023-09-03,118447474.1759556,0,1.0,69894.64144452367,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
36,2023-09-02,103767151.03271341,0,1.0,51694.32063098248,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
37,2023-09-01,378593146.3606432,0,1.0,194932.2772508546,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
38,2023-08-31,394386027.3576948,0,1.0,227308.5310392328,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
39,2023-08-30,238458957.70937848,0,1.0,125608.59537830368,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
40,2023-08-29,554295350.7738193,0,1.0,323881.85417436034,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
41,2023-08-28,244910668.51530167,0,1.0,131958.93336410457,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
42,2023-08-27,118398163.9977054,0,1.0,84281.92712831995,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
43,2023-08-26,69972860.94864549,0,1.0,38161.349021968184,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
44,2023-08-25,279657606.6275481,0,1.0,158409.99629306182,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
45,2023-08-24,233077558.52005076,0,1.0,122509.31943104124,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
46,2023-08-23,398914494.4459796,0,1.0,222834.855694923,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
47,2023-08-22,465095355.9941053,0,1.0,261250.73829417504,1.0,1,1.0,1.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
