,Zl,Z,Zu,alpha,spread
115,198290,0.0006432769549762,198580,0.0,290
116,196200,0.0006423128110389,198200,0.0,2000
117,196730,0.0006432769549762,198740,0.0,2010
118,197680,0.0006432769549762,199360,0.0,1680
119,198240,0.0006432769549762,198500,0.0,260
120,191160,0.0006432126337128,200580,0.0,9420
121,197640,0.0006432126337128,198960,0.0,1320
122,196200,0.0006432126337128,200040,0.0,3840
123,197280,0.0006432126337128,199380,2.074475093999128e-05,2100
124,196200,0.0006432126337128,200040,0.0,3840
125,196250,0.0006432769549762,200310,0.0,4060
126,198300,0.0006432126337128,198540,0.0,240
127,197640,0.0006432126337128,198480,0.0,840
128,197690,0.0006432769549762,198910,0.0,1220
129,196620,0.0006432126337128,201360,0.0,4740
130,192300,0.0006432126337128,199560,0.0,7260
131,198300,0.0006432126337128,198360,0.0,60
132,189840,0.0006432126337128,208200,43.972602692305074,18360
133,198210,0.0006432769549762,198320,0.0,110
134,196800,0.0006432126337128,200640,0.0,3840
135,195460,0.0006432769549762,198400,0.0,2940
136,198300,0.0006432126337128,198360,0.0,60
137,198300,0.0006432126337128,199140,0.0,840
138,194580,0.0006432126337128,201120,0.0,6540
139,198080,0.0006432769549762,199130,0.0,1050
140,198310,0.0006432769549762,198320,0.0,10
141,190980,0.0006432126337128,202920,0.0,11940
142,194430,0.0006432769549762,194710,2.9379651881297536e-05,280
143,191400,0.0006432126337128,205260,0.0,13860
144,196620,0.0006432126337128,198300,0.0,1680
145,198360,0.0006432126337128,199680,0.0,1320
146,198300,0.0006432126337128,199320,0.0,1020
147,197810,0.0006432769549762,199470,0.0,1660
148,194640,0.0006432126337128,201240,0.0,6600
149,194460,0.0006432126337128,202020,0.0,7560
150,196250,0.0006432769549762,199370,0.0,3120
151,196440,0.0006432126337128,200100,0.0,3660
152,191280,0.0006432126337128,205200,0.0,13920
153,197300,0.0006432769549762,198490,0.0,1190
154,189490,0.0006432769549762,199820,0.0,10330
155,197700,0.0006432126337128,198780,0.0,1080
156,198240,0.0006432769549762,198360,0.0,120
157,197580,0.0006432126337128,198240,0.0,660
158,191340,0.0006432126337128,205200,4.2398392946901735,13860
159,192120,0.0006432126337128,204420,0.0,12300
160,194580,0.0006432769549762,194700,0.0,120
161,196740,0.0006432769549762,198960,0.0,2220
162,191280,0.0006432769549762,205140,0.0,13860
163,198540,0.0006432769549762,202620,0.0,4080
164,196920,0.0006432769549762,199800,0.0,2880
165,191280,0.0006432769549762,205140,2.58130433368353,13860
166,198280,0.0006432769549762,200310,0.0,2030
167,197190,0.0006432769549762,199280,0.0,2090
168,196240,0.0006432769549762,200320,0.0,4080
