,id,owner,pool,token0,token1,tickLower,tickUpper,liquidity,collectedFeesToken0,collectedFeesToken1,transaction,feeGrowthInside0LastX128,feeGrowthInside1LastX128
52,565245,0x5041aa0aebce4285867032b35ed1b2883e9ed46d,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202170'},{'tickIdx': '202540'},94712372878189324,0,0,{'id': '0xf57fd7580354037ec6ac520635fab83087f781b4c919020cd453e9aab1a9842a'},115792089237316195423570985008687907853269984349267661704159061715654359339231,115792089237316195423570985008687907591113995751444215820669001455744920318390
53,548131,0xbf5ae133b9a0fc1a07952a7df2afa21f7f69ef58,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '198080'},{'tickIdx': '203880'},94603884840624038,0,0,{'id': '0x324f09b57c8abade1dc515f5cf71e340448bdd9dad9df99dc14957437b5b8892'},936173793424803746767441602558909,506921980944285384673828803662920236569564
54,512252,0x83cb2e85a356ad9bdde29aa8d26fa283ae08c09d,{'id': '0xe0554a476a092703abdb3ef35c80e0d76d32939f'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201398'},{'tickIdx': '201445'},93802116984498157,0,0,{'id': '0x9e2aa24a9e488ccd3e52678d8fdb73ba1a749599fff44d75c275d0e853977a97'},0,0
55,461205,0x3adf0b4f9c94969ce2ed323c8c79830eb7e5b0be,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202730'},{'tickIdx': '202750'},92664457987463708,0,0,{'id': '0x9aac24fb3b444075e6284783105eea6286a0a906d468f315256b53b4a1abc3cb'},250207519320122126430840426140632,190002496165624321984245392384631001245343
56,578967,0x80ec0096a6920c4cb5e9b0e7b2560e6ba70f6e77,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202670'},{'tickIdx': '203120'},91994419677462524,0,0,{'id': '0xc3c3a734986c1d9ebdc7dde21c1586d84963a342e3e28150132bfae927c0d9a9'},322466251068821083900351430157957,237523359765446826514731220957162172147100
57,242173,0x3de2616fd986168d4ef592acd95758727b25458b,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '190020'},{'tickIdx': '209460'},90710871934335528,0,0,{'id': '0x9064b692f58253472eb869b4036380db38daca5a8fb4e61d368ad65ab10f28e6'},2553585604835174532489661580022676,1259012322740106207005540945780881194294462
58,306054,0xedfc5df6f5676123b73ee0b24afb20df22024192,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '196260'},{'tickIdx': '209470'},89564830424603879,0,0,{'id': '0x01e2b79e64eff3f89f1473a10c8edd36f87f9fcb49324eca20288fd81f606e4a'},1706033415694943946716309467545054,974228779849669903301056097250711117815342
59,355630,0x85953d1acdccca030dbf3ae4d3f689ec7ba55820,{'id': '0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '199140'},{'tickIdx': '204360'},84817115602849294,0,0,{'id': '0x18c540b95dc556493edd40f1c5fff7e9039889bf19a4cb2e213db03a5ddf94c0'},733543085118219366900170271263442,412679882714351698307678536464039827557101
60,574729,0x74f9ee81388c35e4658d481de191765876407ca0,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201090'},{'tickIdx': '203530'},83218536663410206,0,0,{'id': '0xbce5ee8f0bc0eace72f46c658e7a3d923029fdc48f0f609526b117bd45cd9093'},474017729769566029624494203114977,287807390301064488419073618296240037404336
61,574685,0xf6dc7146541c431ead5a1d5ccf8e49815dc3ddbc,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201650'},{'tickIdx': '202960'},79959376934639714,0,0,{'id': '0xd41e939f699d5beffd23fc6c1a67d3a07b08d8c7b84faad426b5552d06734d7b'},739615850099183023636606756223763,545224474185601175260321516756203325396469
